dataset,sample_size,overall_prev,sensitive_attr,group_dist,group_prev,max_group_prev_diff
Ukr,1445,7.34,sex,"{'Male': 48.03, 'Female': 51.97}","{'Male': 10.66, 'Female': 4.26}",6.4
Ukr,1445,7.34,territory,"{'Urban': 74.67, 'Rural': 25.33}","{'Urban': 6.3, 'Rural': 10.38}",4.08
Hist,1994,18.0,sex,"{'Female': 54.36, 'Male': 45.64}","{'Female': 14.48, 'Male': 22.2}",7.72
Hist,1994,18.0,territory,"{'Urban': 70.31, 'Rural': 29.69}","{'Urban': 17.05, 'Rural': 20.27}",3.22
Math,1222,31.1,sex,"{'Male': 51.31, 'Female': 48.69}","{'Male': 31.26, 'Female': 30.92}",0.34
Math,1222,31.1,territory,"{'Rural': 25.2, 'Urban': 74.8}","{'Rural': 39.94, 'Urban': 28.12}",11.82
Phys,1045,8.33,sex,"{'Male': 85.36, 'Female': 14.64}","{'Male': 7.96, 'Female': 10.46}",2.5
Phys,1045,8.33,territory,"{'Urban': 75.6, 'Rural': 24.4}","{'Urban': 7.09, 'Rural': 12.16}",5.07
Chem,1030,10.68,sex,"{'Female': 63.4, 'Male': 36.6}","{'Female': 11.18, 'Male': 9.81}",1.37
Chem,1030,10.68,territory,"{'Urban': 77.77, 'Rural': 22.23}","{'Urban': 9.24, 'Rural': 15.72}",6.48
Geo,1132,5.3,sex,"{'Female': 48.23, 'Male': 51.77}","{'Female': 4.21, 'Male': 6.31}",2.1
Geo,1132,5.3,territory,"{'Rural': 27.47, 'Urban': 72.53}","{'Rural': 6.43, 'Urban': 4.87}",1.56
Eng,1278,10.64,sex,"{'Male': 49.22, 'Female': 50.78}","{'Male': 11.76, 'Female': 9.55}",2.21
Eng,1278,10.64,territory,"{'Rural': 15.34, 'Urban': 84.66}","{'Rural': 17.35, 'Urban': 9.43}",7.92
Deu,1004,11.35,sex,"{'Male': 34.46, 'Female': 65.54}","{'Male': 13.87, 'Female': 10.03}",3.84
Deu,1004,11.35,territory,"{'Urban': 84.86, 'Rural': 15.14}","{'Urban': 8.57, 'Rural': 26.97}",18.4
